Timestamp,Energy_Consumption_House_1,Renewable_Energy_Consumption_House_1,Energy_Consumption_House_2,Renewable_Energy_Consumption_House_2,Energy_Consumption_House_3,Renewable_Energy_Consumption_House_3,Energy_Consumption_House_4,Renewable_Energy_Consumption_House_4,Energy_Consumption_House_5,Renewable_Energy_Consumption_House_5,Hour_of_the_Day,Day_of_the_Week,Month,Temperature,Date
2023-01-01 00:00:00,0.0684,0.025,0.132,0.041,0.1512,0.049,0.072,0.03,0.0624,0.029,0,6,1,22.9,2023-01-01
2023-01-01 01:00:00,0.0252,0.009,0.0876,0.027,0.054,0.018,0.1308,0.055,0.1188,0.055,1,6,1,19.6,2023-01-01
2023-01-01 02:00:00,0.1548,0.056,0.0972,0.03,0.072,0.023,0.078,0.033,0.192,0.09,2,6,1,21.0,2023-01-01
2023-01-01 03:00:00,0.096,0.035,0.1512,0.047,0.1404,0.046,0.0684,0.029,0.0744,0.035,3,6,1,20.4,2023-01-01
2023-01-01 04:00:00,0.162,0.059,0.0911999999999999,0.028,0.0816,0.027,0.0527999999999999,0.022,0.1703999999999999,0.08,4,6,1,20.8,2023-01-01
2023-01-01 05:00:00,0.0431999999999999,0.016,0.03,0.009,0.048,0.016,0.0168,0.007,0.1055999999999999,0.049,5,6,1,22.6,2023-01-01
2023-01-01 06:00:00,0.2087999999999999,0.168,0.138,0.097,0.2244,0.163,0.1392,0.092,0.3467999999999999,0.289,6,6,1,29.9,2023-01-01
2023-01-01 07:00:00,0.2663999999999999,0.2663999999999999,0.1356,0.095,0.28368,0.262,0.19296,0.19296,0.4996799999999998,0.4369999999999999,7,6,1,34.2,2023-01-01
2023-01-01 08:00:00,0.2260799999999998,0.2260799999999998,0.126,0.089,0.28512,0.263,0.2692799999999999,0.239,0.2980799999999998,0.297,8,6,1,33.3,2023-01-01
2023-01-01 09:00:00,0.1488,0.12,0.162,0.114,0.1427999999999999,0.104,0.0624,0.041,0.4271999999999999,0.356,9,6,1,23.1,2023-01-01
2023-01-01 10:00:00,0.2028,0.164,0.1835999999999999,0.129,0.2376,0.173,0.2603999999999999,0.173,0.3816,0.318,10,6,1,27.9,2023-01-01
2023-01-01 11:00:00,0.1296,0.1296,0.0527999999999999,0.037,0.1540799999999999,0.1540799999999999,0.2476799999999998,0.227,0.0460799999999999,0.0460799999999999,11,6,1,32.0,2023-01-01
2023-01-01 12:00:00,0.1715999999999999,0.138,0.1091999999999999,0.077,0.06,0.044,0.084,0.056,0.1427999999999999,0.119,12,6,1,27.0,2023-01-01
2023-01-01 13:00:00,0.072,0.058,0.0707999999999999,0.05,0.0936,0.068,0.0936,0.062,0.2208,0.184,13,6,1,27.6,2023-01-01
2023-01-01 14:00:00,0.1771199999999998,0.1771199999999998,0.048,0.034,0.14256,0.14256,0.1367999999999998,0.1367999999999998,0.2030399999999999,0.2030399999999999,14,6,1,32.9,2023-01-01
2023-01-01 15:00:00,0.13824,0.13824,0.0168,0.012,0.1699199999999998,0.1699199999999998,0.16416,0.16416,0.23184,0.23184,15,6,1,34.9,2023-01-01
2023-01-01 16:00:00,0.0492,0.04,0.0828,0.058,0.138,0.1,0.15,0.099,0.2471999999999999,0.206,16,6,1,23.2,2023-01-01
2023-01-01 17:00:00,0.2188799999999998,0.2188799999999998,0.0611999999999999,0.043,0.2361599999999999,0.2329999999999999,0.4175999999999999,0.321,0.24336,0.24336,17,6,1,30.3,2023-01-01
2023-01-01 18:00:00,0.324,0.261,0.1344,0.095,0.2663999999999999,0.194,0.252,0.167,0.3407999999999999,0.284,18,6,1,26.3,2023-01-01
2023-01-01 19:00:00,0.1584,0.058,0.078,0.024,0.1608,0.052,0.2915999999999999,0.123,0.3348,0.156,19,6,1,21.7,2023-01-01
2023-01-01 20:00:00,0.2532,0.092,0.1848,0.057,0.18,0.059,0.1392,0.059,0.4008,0.187,20,6,1,20.0,2023-01-01
2023-01-01 21:00:00,0.2712,0.099,0.2292,0.071,0.2148,0.07,0.2028,0.086,0.4247999999999999,0.198,21,6,1,18.8,2023-01-01
